Repeticao,Nos Usados,Tempo (s),CO2e (kg)
1,"[45, 52, 54, 59, 93]",0.0010901927947998048,1.688159766565526e-08
2,"[6, 12, 82, 83, 86]",0.0009922027587890626,1.5655993261093948e-08
3,"[7, 13, 43, 51, 93]",0.0012380123138427735,2.055982723660501e-08
4,"[17, 24, 31, 57, 68]",0.0009877204895019532,1.5445248391455046e-08
5,"[23, 31, 35, 54, 59]",0.001194143295288086,1.722828630639483e-08
6,"[6, 9, 12, 56, 70]",0.0009805679321289063,1.571166405596158e-08
7,"[1, 11, 69, 83, 96]",0.001257610321044922,1.8015774996997022e-08
8,"[21, 30, 52, 61, 62]",0.001093578338623047,1.6312249208853695e-08
9,"[7, 21, 27, 48, 51]",0.0011030197143554687,1.6401736121901076e-08
10,"[0, 33, 36, 49, 58]",0.0012361526489257813,1.7901274868752994e-08
11,"[54, 71, 84, 89, 93]",0.0010838031768798829,1.6458455505726527e-08
12,"[19, 24, 37, 62, 91]",0.0011260509490966797,1.3748150194701473e-08
13,"[7, 27, 69, 74, 94]",0.0010884761810302734,1.6468377840750415e-08
14,"[6, 7, 40, 74, 95]",0.0012326717376708984,1.7704060358193273e-08
15,"[7, 20, 61, 64, 67]",0.0010833740234375,1.6289637407417622e-08
